Mod:Item:MetaData, Localized Name
props:props:1483, Awning 3 Blue
props:props:1484, Awning 3 Lime
props:props:1485, Awning 3 Green
props:props:1486, Awning 3 Fuchsia
props:props:1487, Awning 3 Light Blue
props:props:1488, Awning 3 Razzle
props:props:1489, Awning 3 Red
props:props:1490, Awning 3 Pink
props:props:1491, Awning 3 Yellow
props:props:1492, Awning 3 Coral
props:props:1493, Awning 3 Cyan
props:props:1494, Restaurant Table 1
props:props:1495, Restaurant Table 1 Dark Blue
props:props:1496, Restaurant Table 1 Orange
props:props:1497, Restaurant Table 1 Purple
props:props:1498, Restaurant Table 1 Blue
props:props:1499, Restaurant Table 1 Lime
props:props:1500, Restaurant Table 1 Green
props:props:1501, Restaurant Table 1 Fuchsia
props:props:1502, Restaurant Table 1 Light Blue
props:props:1503, Restaurant Table 1 Razzle
props:props:1504, Restaurant Table 1 Red
props:props:1505, Restaurant Table 1 Pink
props:props:1506, Restaurant Table 1 Yellow
props:props:1507, Restaurant Table 1 Coral
props:props:1508, Restaurant Table 1 Cyan
props:props:1509, Restaurant Table 2
props:props:1510, Restaurant Table 2 Dark Blue
props:props:1511, Restaurant Table 2 Orange
props:props:1512, Restaurant Table 2 Purple
props:props:1513, Restaurant Table 2 Blue
props:props:1514, Restaurant Table 2 Lime
props:props:1515, Restaurant Table 2 Green
props:props:1516, Restaurant Table 2 Fuchsia
props:props:1517, Restaurant Table 2 Light Blue
props:props:1518, Restaurant Table 2 Razzle
props:props:1519, Restaurant Table 2 Red
props:props:1520, Restaurant Table 2 Pink
props:props:1521, Restaurant Table 2 Yellow
props:props:1522, Restaurant Table 2 Coral
props:props:1523, Restaurant Table 2 Cyan
props:props:1524, Restaurant Table 3
props:props:1525, Restaurant Table 3 Dark Blue
props:props:1526, Restaurant Table 3 Orange
props:props:1527, Restaurant Table 3 Purple
props:props:1528, Restaurant Table 3 Blue
props:props:1529, Restaurant Table 3 Lime
props:props:1530, Restaurant Table 3 Green
props:props:1531, Restaurant Table 3 Fuchsia
props:props:1532, Restaurant Table 3 Light Blue
props:props:1533, Restaurant Table 3 Razzle
props:props:1534, Restaurant Table 3 Red
props:props:1535, Restaurant Table 3 Pink
props:props:1536, Restaurant Table 3 Yellow
props:props:1537, Restaurant Table 3 Coral
props:props:1538, Restaurant Table 3 Cyan
props:props:1539, Picket Fence 1 Wood Dark
props:props:1540, Picket Fence 1 White
props:props:1541, Picket Fence 1 Wood Light
props:props:1542, Banister 1 Wood Dark
props:props:1543, Banister 1 Wood Medium
props:props:1544, Banister 1 Wood Light
props:props:1545, Vault Door Iron Open
props:props:1546, Vault Door Gold Open
props:props:1547, Vault Door BlackOpen
props:props:1548, Car Park Barrier Open
props:props:1549, Patron Doll Kenny
props:props:1550, Patron Doll Cymosa
props:props:1551, Patron Doll JikanUsagi
props:props:1552, Patron Doll Gold172
props:props:1553, Patron AtariKafa
props:props:1554, Sunglass Display
props:props:1555, Frames Dispenser
props:props:1556, Locker
props:props:1557, Locker Dark Blue
props:props:1558, Locker Orange
props:props:1559, Locker Purple
props:props:1560, Locker Blue
props:props:1561, Locker Lime
props:props:1562, Locker Green
props:props:1563, Locker Fuchsia
props:props:1564, Locker Light Blue
props:props:1565, Locker Razzle
props:props:1566, Locker Red
props:props:1567, Locker Pink
props:props:1568, Locker Yellow
props:props:1569, Locker Coral
props:props:1570, Locker Cyan
props:props:1571, Patron Doll Zachary_Qiun
props:props:1572, Mini Football
props:props:1573, Water Dispenser
props:props:1574, Patron Chestboy
props:props:1575, Plates Double
props:props:1576, Patron estranged42
props:props:1577, Clothes Rack 1
props:props:1578, Clothes Rack 2
props:props:1579, Clothes Rack 3
props:props:1580, Clothes Rack 4
props:props:1581, Yarn Basket
props:props:1582, Bay Window
props:props:1583, Bay Window Dark Blue
props:props:1584, Bay Window Orange
props:props:1585, Bay Window Purple
props:props:1586, Bay Window Blue
props:props:1587, Bay Window Lime
props:props:1588, Bay Window Green
props:props:1589, Bay Window Fuchsia
props:props:1590, Bay Window Light Blue
props:props:1591, Bay Window Razzle
props:props:1592, Bay Window Red
props:props:1593, Bay Window Pink
props:props:1594, Bay Window Yellow
props:props:1595, Bay Window Coral
props:props:1596, Bay Window Cyan
props:props:1597, Bay Window Light Wood
props:props:1598, Bay Window Medium Wood
props:props:1599, Bay Window Dark Wood
props:props:1600, Bay Window Tall
props:props:1601, Bay Window Tall Dark Blue
props:props:1602, Bay Window Tall Orange
props:props:1603, Bay Window Tall Purple
props:props:1604, Bay Window Tall Blue
props:props:1605, Bay Window Tall Lime
props:props:1606, Bay Window Tall Green
props:props:1607, Bay Window Tall Fuchsia
props:props:1608, Bay Window Tall Light Blue
props:props:1609, Bay Window Tall Razzle
props:props:1610, Bay Window Tall Red
props:props:1611, Bay Window Tall TallPink
props:props:1612, Bay Window Tall Yellow
props:props:1613, Bay Window Tall Coral
props:props:1614, Bay Window Tall Cyan
props:props:1615, Bay Window Tall Light Wood
props:props:1616, Bay Window Tall Medium Wood
props:props:1617, Bay Window Tall Dark Wood
props:props:1618, Window 1
props:props:1619, Window 1 Tall Dark Blue
props:props:1620, Window 1 Tall Orange
props:props:1621, Window 1 Tall Purple
props:props:1622, Window 1 Tall Blue
props:props:1623, Window 1 Tall Lime
props:props:1624, Window 1 Tall Green
props:props:1625, Window 1 Tall Fuchsia
props:props:1626, Window 1 Tall Light Blue
props:props:1627, Window 1 Tall Razzle
props:props:1628, Window 1 Tall Red
props:props:1629, Window 1 Tall TallPink
props:props:1630, Window 1 Tall Yellow
props:props:1631, Window 1 Tall Coral
props:props:1632, Window 1 Tall Cyan
props:props:1633, Window 1 Tall Light Wood
props:props:1634, Window 1 Tall Medium Wood
props:props:1635, Window 1 Tall Dark Wood
props:props:1636, Window 1 Open
props:props:1637, Window 1 Open Tall Dark Blue
props:props:1638, Window 1 Open Tall Orange
props:props:1639, Window 1 Open Tall Purple
props:props:1640, Window 1 Open Tall Blue
props:props:1641, Window 1 Open Tall Lime
props:props:1642, Window 1 Open Tall Green
props:props:1643, Window 1 Open Tall Fuchsia
props:props:1644, Window 1 Open Tall Light Blue
props:props:1645, Window 1 Open Tall Razzle
props:props:1646, Window 1 Open Tall Red
props:props:1647, Window 1 Open Tall TallPink
props:props:1648, Window 1 Open Tall Yellow
props:props:1649, Window 1 Open Tall Coral
props:props:1650, Window 1 Open Tall Cyan
props:props:1651, Window 1 Open Tall Light Wood
props:props:1652, Window 1 Open Tall Medium Wood
props:props:1653, Window 1 Open Tall Dark Wood
props:props:1654, Tall Lamp 1
props:props:1655, Tall Lamp 2
props:props:1656, Tall Lamp 3
props:props:1657, Table Lamp 1
props:props:1658, Flower Pot 1
props:props:1659, Flower Pot 2
props:props:1660, Venus Fly Trap
props:props:1661, Vanity Mirror
props:props:1662, Coffee Grinder
props:props:1663, Envelopes
props:props:1664, Sewing Kit
props:props:1665, Letter
props:props:1666, Inkwell
props:props:1667, Arm Desk
props:props:1668, Arm Desk Dark Blue
props:props:1669, Arm Desk Orange
props:props:1670, Arm Desk Purple
props:props:1671, Arm Desk Blue
props:props:1672, Arm Desk Lime
props:props:1673, Arm Desk Green
props:props:1674, Arm Desk Fuchsia
props:props:1675, Arm Desk Light Blue
props:props:1676, Arm Desk Razzle
props:props:1677, Arm Desk Red
props:props:1678, Arm Desk Pink
props:props:1679, Arm Desk Yellow
props:props:1680, Arm Desk Coral
props:props:1681, Arm Desk Cyan
props:props:1682, Arm Desk Wood
props:props:1683, Park Bench 1
props:props:1684, Patron LtWind
props:props:1685, Park Bench 2
props:props:1686, Patron Sora_Zealon
props:props:1687, Christmas Tree Antique
props:props:1688, Crate
props:props:1689, Potted Tree 1
props:props:1690, Wooden Wash Tub
props:props:1691, Patron KittyCarrot2505
props:props:1692, Patron PurpleHel
props:props:1693, Patron MasterRose88
props:props:1694, Patron Doll johnny215
props:props:1695, Patron Doll ScottRadish
props:props:1696, Closet 2 Light Wood
props:props:1697, Closet 2 Medium Wood
props:props:1698, Closet 2 Dark Wood
props:props:1699, Closet 2 White
props:props:1700, Closet 2 Black
props:props:1701, Closet 3 Light Wood
props:props:1702, Closet 3 Light Wood Open
props:props:1703, Closet 3 Medium Wood
props:props:1704, Closet 3 Medium Wood Open
props:props:1705, Closet 3 Dark Wood
props:props:1706, Closet 3 Dark Wood Open
props:props:1707, Closet 3 White
props:props:1708, Closet 3 White Open
props:props:1709, Closet 3 Black
props:props:1710, Closet 3 Black Open
props:props:1711, Closet 4 Light Wood
props:props:1712, Closet 4 Medium Wood
props:props:1713, Closet 4 Dark Wood
props:props:1714, Closet 4 White
props:props:1715, Closet 4 Black
props:props:1716, Closet 5 Light Wood
props:props:1717, Closet 5 Medium Wood
props:props:1718, Closet 5 Dark Wood
props:props:1719, Closet 5 White
props:props:1720, Closet 5 Black
props:props:1721, Closet 6 Light Wood
props:props:1722, Closet 6 Light Wood Open
props:props:1723, Closet 6 Medium Wood
props:props:1724, Closet 6 Medium Wood Open
props:props:1725, Closet 6 Dark Wood
props:props:1726, Closet 6 Dark Wood Open
props:props:1727, Closet 6 White
props:props:1728, Closet 6 White Open
props:props:1729, Closet 6 Black
props:props:1730, Closet 6 Black Open
props:props:1731, Closet 7 Light Wood
props:props:1732, Closet 7 Light Wood Open
props:props:1733, Closet 7 Medium Wood
props:props:1734, Closet 7 Medium Wood Open
props:props:1735, Closet 7 Dark Wood
props:props:1736, Closet 7 Dark Wood Open
props:props:1737, Closet 7 White
props:props:1738, Closet 7 White Open
props:props:1739, Closet 7 Black
props:props:1740, Closet 7 Black Open
props:props:1741, Closet 1 Light Wood
props:props:1742, Closet 1 Medium Wood
props:props:1743, Closet 1 Dark Wood
props:props:1744, Closet 1 White
props:props:1745, Closet 1 Black
props:props:1746, Bunk Bed Bottom
props:props:1747, Bunk Bed Bottom Brown
props:props:1748, Bunk Bed Bottom Orange
props:props:1749, Bunk Bed Bottom Purple
props:props:1750, Bunk Bed Bottom Blue
props:props:1751, Bunk Bed Bottom Lime
props:props:1752, Bunk Bed Bottom Green
props:props:1753, Bunk Bed Bottom Fuchsia
props:props:1754, Bunk Bed Bottom Light Blue
props:props:1755, Bunk Bed Bottom Razzle
props:props:1756, Bunk Bed Bottom Red
props:props:1757, Bunk Bed Bottom Pink
props:props:1758, Bunk Bed Bottom Black
props:props:1759, Bunk Bed Bottom Yellow
props:props:1760, Bunk Bed Bottom Coral
props:props:1761, Bunk Bed Bottom Cyan
props:props:1762, Bunk Bed Top
props:props:1763, Bunk Bed Top Brown
props:props:1764, Bunk Bed Top Orange
props:props:1765, Bunk Bed Top Purple
props:props:1766, Bunk Bed Top Blue
props:props:1767, Bunk Bed Top Lime
props:props:1768, Bunk Bed Top Green
props:props:1769, Bunk Bed Top Fuchsia
props:props:1770, Bunk Bed Top Light Blue
props:props:1771, Bunk Bed Top Razzle
props:props:1772, Bunk Bed Top Red
props:props:1773, Bunk Bed Top Pink
props:props:1774, Bunk Bed Top Black
props:props:1775, Bunk Bed Top Yellow
props:props:1776, Bunk Bed Top Coral
props:props:1777, Bunk Bed Top Cyan
props:props:1778, Window 2
props:props:1779, Window 2 Open
props:props:1780, Window 2 Dark Blue
props:props:1781, Window 2 Open Dark Blue
props:props:1782, Window 2 Orange
props:props:1783, Window 2 Open Orange
props:props:1784, Window 2 Purple
props:props:1785, Window 2 Open Purple
props:props:1786, Window 2 Blue
props:props:1787, Window 2 Open Blue
props:props:1788, Window 2 Lime
props:props:1789, Window 2 Open Lime
props:props:1790, Window 2 Green
props:props:1791, Window 2 Open Green
props:props:1792, Window 2 Fuchsia
props:props:1793, Window 2 Open Fuchsia
props:props:1794, Window 2 Light Blue
props:props:1795, Window 2 Open Light Blue
props:props:1796, Window 2 Razzle
props:props:1797, Window 2 Open Razzle
props:props:1798, Window 2 Red
props:props:1799, Window 2 Open Red
props:props:1800, Window 2 TallPink
props:props:1801, Window 2 Open Pink
props:props:1802, Window 2 Yellow
props:props:1803, Window 2 Open Yellow
props:props:1804, Window 2 Coral
props:props:1805, Window 2 Open Coral
props:props:1806, Window 2 Cyan
props:props:1807, Window 2 Open Cyan
props:props:1808, Window 2 Light Wood
props:props:1809, Window 2 Open Light Wood
props:props:1810, Window 2 Medium Wood
props:props:1811, Window 2 Open Medium Wood
props:props:1812, Window 2 Dark Wood
props:props:1813, Window 2 Open Dark Wood
props:props:1814, Light Switch
props:props:1815, World Globe 2
props:props:1816, Office Phone
props:props:1817, Japanese Table
props:props:1818, Zabuton
props:props:1819, Vase Cherry Blossom
props:props:1820, Japanese Tea Set Mint
props:props:1821, Japanese Tea Set Blue
props:props:1822, Japanese Tea Set Red
props:props:1823, Japanese Tea Set White
props:props:1824, Japanese Tea Set Brown
props:props:1825, Japanese Tea Set Yellow
props:props:1826, Japanese Tea Set Pink
props:props:1827, Old Stove
props:props:1829, Arcade Cabinet
props:props:1830, Fire Extinguisher
props:props:1831, Pot
props:props:1832, Pile Of Books 1
props:props:1833, Pile Of Books 2
props:props:1834, Gibbet
props:props:1835, Decorative Book
props:props:1836, Comic Books
props:props:1837, Treadmill
props:props:1838, Dumbbell Rack
props:props:1839, Dumbbell
props:props:1840, Bench Press
props:props:1841, Dessert Case
props:props:1842, Piano Bench
props:props:1843, Monkey Bars
props:props:1844, Monkey Bars 2
props:props:1845, Easter Basket
props:props:1846, Painted Egg
props:props:1847, Soccer Goal
props:props:1848, Crayon Box
props:props:1849, Crayon Box Spilled
props:props:1850, Children Drawings
props:props:1851, Box Of Donuts
props:props:1852, Pot With Soup
props:props:1853, Sushi
props:props:1854, Mine Cube
props:props:1855, M64
props:props:1856, FlowerBox
props:props:1857, Circle Sign 1
props:props:1858, Circle Sign 2
props:props:1859, Circle Sign 3
props:props:1860, Circle Sign 4
props:props:1861, Circle Sign 5
props:props:1862, Circle Sign 6
props:props:1863, Circle Sign 7
props:props:1864, Circle Sign 8
props:props:1865, Circle Sign 9
props:props:1866, Circle Sign 10
props:props:1867, Circle Sign 11
props:props:1868, Circle Sign 12
props:props:1869, Circle Sign 13
props:props:1870, Circle Sign 14
props:props:1871, Circle Sign 15
props:props:1872, X-ray Machine
props:props:1873, Metal Detector
props:props:1874, Cat Tower
props:props:1875, Litter Box
props:props:1876, Book Stand
props:props:1877, MES
props:props:1878, Super MES
props:props:1879, Retro Computer
props:props:1880, Mp3 Dock Radio
props:props:1881, Stereo
props:props:1882, Shower
props:props:1883, Wall Photos
props:props:1885, HulkBR
props:props:1886, Hamburger
props:props:1887, ProSidu
props:props:1888, Disposable Coffee
props:props:1889, Hot Dog
props:props:1890, Minguado
props:props:1891, Potted Plant
props:props:1892, CRT TV
props:props:1893, Bunny Plush
props:props:1894, MineBoy
props:props:1895, Totoro Plush
props:props:1896, Chocolate Cake
props:props:1897, TV Stand
props:props:1898, Guitar
props:props:1899, Mic Stand
props:props:1900, Synth Keyboard
props:props:1901, Laundry Basket
props:props:1902, Kiddie pool
props:props:1903, Tent
props:props:1904, Tent Dark Blue
props:props:1905, Tent Orange
props:props:1906, Tent Purple
props:props:1907, Tent Blue
props:props:1908, Tent Lime
props:props:1909, Tent Green
props:props:1910, Tent Fuchsia
props:props:1911, Tent Light Blue
props:props:1912, Tent Razzle
props:props:1913, Tent Red
props:props:1914, Tent Pink
props:props:1915, Tent Yellow
props:props:1916, Tent Coral
props:props:1917, Tent Cyan
props:props:1918, Tent Grey
props:props:1919, Tent Black
props:props:1920, Sleeping Bag
props:props:1921, Sleeping Bag Dark Blue
props:props:1922, Sleeping Bag Orange
props:props:1923, Sleeping Bag Purple
props:props:1924, Sleeping Bag Blue
props:props:1925, Sleeping Bag Lime
props:props:1926, Sleeping Bag Green
props:props:1927, Sleeping Bag Fuchsia
props:props:1928, Sleeping Bag Light Blue
props:props:1929, Sleeping Bag Razzle
props:props:1930, Sleeping Bag Red
props:props:1931, Sleeping Bag Pink
props:props:1932, Sleeping Bag Yellow
props:props:1933, Sleeping Bag Coral
props:props:1934, Sleeping Bag Cyan
props:props:1935, Sleeping Bag Grey
props:props:1936, Sleeping Bag Black
props:props:1937, Small Sitting Log
props:props:1938, Large Sitting Log
props:props:1939, Short BookShelf Light Wood
props:props:1940, Short BookShelf Medium Wood
props:props:1941, Short BookShelf Dark Wood
props:props:1942, Short BookShelf Acacia
props:props:1943, Short BookShelf White
props:props:1944, Short BookShelf Black
props:props:1945, Medium Bookshelf Light Wood
props:props:1946, Medium BookShelf Medium Wood
props:props:1947, Medium BookShelf Dark Wood
props:props:1948, Medium BookShelf White
props:props:1949, Medium BookShelf Black
props:props:1950, Tall Bookshelf Light Wood
props:props:1951, Tall BookShelf Medium Wood
props:props:1952, Tall BookShelf Dark Wood
props:props:1953, Tall BookShelf White
props:props:1954, Tall BookShelf Black
props:props:1955, Wall Bookshelf Light Wood
props:props:1956, Wall BookShelf Medium Wood
props:props:1957, Wall BookShelf Dark Wood
props:props:1958, Wall BookShelf White
props:props:1959, Wall BookShelf Black
props:props:1960, Pizza
props:props:1961, Open Book 1
props:props:1962, Open Book 2
props:props:1963, Pikachu Plush
props:props:1964, High Chair
props:props:1965, Ritual
props:props:1966, Decocraft Shelf
props:props:1967, Amp
props:props:1968, Cereal
props:props:1969, Log Sofa
props:props:1970, Log Sofa Dark Blue
props:props:1971, Log Sofa Orange
props:props:1972, Log Sofa Purple
props:props:1973, Log Sofa Blue
props:props:1974, Log Sofa Lime
props:props:1975, Log Sofa Green
props:props:1976, Log Sofa Fuchsia
props:props:1977, Log Sofa Light Blue
props:props:1978, Log Sofa Razzle
props:props:1979, Log Sofa Red
props:props:1980, Log Sofa Pink
props:props:1981, Log Sofa Yellow
props:props:1982, Log Sofa Coral
props:props:1983, Log Sofa Cyan
props:props:1984, Log Sofa Grey
props:props:1985, Log Sofa Black
props:props:1986, Log Chair
props:props:1987, Log Chair Dark Blue
props:props:1988, Log Chair Orange
props:props:1989, Log Chair Purple
props:props:1990, Log Chair Blue
props:props:1991, Log Chair Lime
props:props:1992, Log Chair Green
props:props:1993, Log Chair Fuchsia
props:props:1994, Log Chair Light Blue
props:props:1995, Log Chair Razzle
props:props:1996, Log Chair Red
props:props:1997, Log Chair Pink
props:props:1998, Log Chair Yellow
props:props:1999, Log Chair Coral
props:props:2000, Log Chair Cyan
props:props:2001, Log Chair Grey
props:props:2002, Log Chair Black
props:clay:0, Red Crafting Clay
props:clay:1, Blue Crafting Clay
props:clay:2, Green Crafting Clay
props:tool, Decowand
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:unstableingots:0, Unstable Ingot
extrautils2:unstableingots:1, Stable-'Unstable Nugget'
extrautils2:unstableingots:2, Stable-'Unstable Ingot'
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical Planks
extrautils2:decorativesolidwood:1, Magical Wood
extrautils2:decorativesolidwood:2, Diagonal Wood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:cursedearth, Cursed Earth
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:quarryproxy, Quantum Quarry Actuator
extrautils2:quarry, Quantum Quarry
extrautils2:spike_wood, Wooden Spikes
extrautils2:spike_stone, Stone Spikes
extrautils2:spike_iron, Iron Spikes
extrautils2:spike_gold, Golden Spikes
extrautils2:spike_diamond, Diamond Spikes
extrautils2:spike_creative, Creative Spikes
extrautils2:redstonelantern, Redstone Lantern
extrautils2:largishchest, Slightly-Larger Chest
extrautils2:minichest, Mini Chest
extrautils2:rainbowgenerator:0, Rainbow Generator!
extrautils2:rainbowgenerator:1, Rainbow Generator (bottom half)
extrautils2:rainbowgenerator:2, Rainbow Generator (top half)
extrautils2:magicapple, Magical Apple
extrautils2:simpledecorative:0, Block of Enchanted Metal
extrautils2:simpledecorative:1, Block of Demon Metal
extrautils2:simpledecorative:2, Block of Evil Infused Iron
extrautils2:creativechest, Creative Chest
extrautils2:creativeenergy, Creative Energy Source
extrautils2:creativeharvest, Creative Harvest
extrautils2:trowel, Trowel
extrautils2:biomemarker, Biome Marker
extrautils2:terraformer:0, Terraformer
extrautils2:terraformer:1, Antenna
extrautils2:terraformer:2, Humidifier
extrautils2:terraformer:3, Dehumidifier
extrautils2:terraformer:4, Heater
extrautils2:terraformer:5, Cooler
extrautils2:terraformer:6, Dehostilifier
extrautils2:terraformer:7, Magic Absorbtion
extrautils2:terraformer:8, Magic Infuser
extrautils2:terraformer:9, Climograph Base Unit
extrautils2:trashchest, Trash Chest
extrautils2:opinium:0, Opinium Core (Pathetic)
extrautils2:opinium:1, Opinium Core (Mediocre)
extrautils2:opinium:2, Opinium Core (Passable)
extrautils2:opinium:3, Opinium Core (Decent)
extrautils2:opinium:4, Opinium Core (Good)
extrautils2:opinium:5, Opinium Core (Damn Good)
extrautils2:opinium:6, Opinium Core (Amazing)
extrautils2:opinium:7, Opinium Core (Inspiring)
extrautils2:opinium:8, Opinium Core (Perfected)
extrautils2:lawsword, Kikoku
extrautils2:flattransfernode:0, Flat Transfer Node (Items)
